country,CRI_equal_weights_0_to_100,CRI_economic_focus_0_to_100,CRI_governance_focus_0_to_100,CRI_sovereign_focus_0_to_100,CRI_trade_focus_0_to_100,CRI_pca_weights_0_to_100
Malawi,53.15759996030391,53.23622083028145,57.604301585467454,51.82753155917336,48.40510640009691,56.982218207659166
Uganda,73.70810433391726,73.7522329803759,74.72165953142571,66.45552748111673,78.35632399921538,61.146376157951806
Japan,22.101728782141656,25.674392405745216,18.01361801453186,21.514173337532046,23.553132987260973,14.506911439805267
"BES Islands (Bonaire, St Eustatius, Saba)",61.23684501155745,61.30190557561228,60.29456111133204,57.57839594252465,64.35003519285326,51.92947126346284
Azerbaijan,68.25468551494403,68.30796724774187,70.39461144509629,64.79781246059736,67.77246475713157,65.65444997864714
Austria,20.207902204812356,20.17691045983038,16.84596410288832,14.43097600852455,29.384367909018383,2.8735715436639597
Jordan,63.654001076681645,63.71500465577093,61.743758757195245,65.26895227007769,61.976763332029414,64.56611489844303
Madagascar,49.51815172314538,49.60288108855442,58.369122996121014,49.23694628674394,39.181799810272295,62.669112610952716
Ukraine,95.67789485676069,95.6851491320798,91.30200987641481,100.0,92.71937383306827,100.0
Turkey,65.57864052719927,60.885865955699124,68.3472845962476,60.66891702862846,69.77393559800437,62.72035608918451
Guinea-Bissau,67.18980544471314,67.2448744855369,73.73765919838253,61.81575573460359,64.26717431635507,66.73052431990052
Israel,51.50708630834786,51.5249294380828,48.05391167725046,43.231353858767655,62.542179241590446,30.746558966688735
Tunisia,88.94147445208502,88.96003521964836,84.13345763305506,91.19281157787815,88.86319926915789,86.98784716583302
Bosnia and Herzegovina,79.30620812623484,79.34094084528577,77.46078769876686,77.17414831378258,81.19377115675424,73.90082260450495
United States,28.21872829159509,29.456810716425963,25.92777965733946,20.285606857108508,37.414743242262844,7.826124942702439
Indonesia,52.93276139880211,53.31792128878469,52.83591079968472,51.03652329367958,53.254476588760724,49.69044995436459
Thailand,61.3711633548524,61.43599847732023,60.2258589047448,56.175298691833895,66.35858314163204,48.66044003880993
Bolivia,82.99646246864337,83.0250014186604,83.12314351581949,86.64120706674882,76.47685363892293,91.84689018144186
Mauritania,72.51773501571685,72.56386159292438,75.03858477920177,65.60821409086243,75.27068822036567,61.87224775854831
Luxembourg,9.542631613303005,9.873060750052971,5.625263659279986,11.274720861250405,11.174095930759124,9.069928801062282
Kenya,68.5041549958078,68.55701801590943,69.21083764577317,65.93359921360519,68.532780451939,64.25812647204435
Timor-Leste,49.52818622515408,49.61289874852947,54.14280532323903,49.24408891700708,43.56802158752568,57.71836817014789
Iran,65.5148614390308,65.57274172681838,75.88165042177549,60.62351861773438,58.17248415939189,71.54678508607837
Bhutan,62.54456574694329,62.60743141616318,57.026332297688484,58.509240910438265,70.75434050488492,47.555664199565356
Martinique,46.04109847759425,46.131663772650185,48.924407979644016,46.761954930249125,40.874458799207844,53.73868771202537
Marshall Islands,60.887934013991874,60.95358019462805,54.9511888349143,57.33003860020736,69.05763910883728,45.9336536725577
Aruba,28.132103228010763,28.2527272046405,25.044989688582803,34.014204086071246,24.02515605298628,36.75678349446085
Togo,71.36168176172693,71.40974867317207,73.61235710579146,64.78532712042743,74.06408852994794,60.98768566234206
Bermuda,39.75418520324527,39.855302532156934,44.220251688591006,42.28688511848963,31.16194401605225,51.920935759108765
Benin,49.90391227343935,49.98799417351696,54.37189937917823,49.51153340411865,44.20219658356822,57.36022028549523
Iraq,67.56086534991319,67.61531159915207,79.26113671826505,62.07987882771037,59.42496779653303,74.1973645271251
Tonga,54.74110537901704,54.81706847369851,51.60541103971627,52.95468203617345,58.267445453776425,48.096987074749904
Trinidad & Tobago,50.13450013239697,50.21819501092867,51.987278470447976,49.675667490521555,47.19826546723955,53.12167319522318
Belize,75.64218002308837,75.68306249272526,71.5621793461456,76.29385984592575,76.91741917862784,72.39421096562265
Malta,43.99161753579232,44.085622705289154,40.51338651667446,39.7516894027864,50.83244188353356,30.541862439484042
United Kingdom,15.415151223308108,16.187697612224916,14.506883190233072,13.65448045624071,17.21778083380364,11.984318151998524
Trinidad and Tobago,55.866025739931516,55.940100754212416,55.06527692836368,55.39777450296579,55.520244544584216,54.6633686450148
Ireland,31.764785755332614,30.112077864414218,24.00380508325333,27.557943806844627,44.69769149248204,12.316285347475313
Belgium,29.519740998036337,29.948955978300823,26.288075266385036,24.577799254240734,37.0289694618818,13.989306965047597
Mali,65.30010622830928,65.358346963928,74.8247406589903,60.47065432352835,58.76591140793372,71.31956181572473
Belarus,76.59307360189761,76.63236007986114,82.64041075512893,79.56313167807674,64.8712716508301,93.92793097685734
Lebanon,100.0,100.0,100.0,97.322472451285,100.0,96.2039423482764
Vanuatu,37.26783684823779,37.37312729531958,40.32922739792165,40.51708458530762,29.41712035875859,48.9788673612479
Spain,45.51714809292748,46.23170940990494,41.142031010434486,42.656504038252784,51.262612473161994,34.55262739354215
Saint Vincent and the Grenadines,60.19180882506324,60.25862339092137,59.512617200775416,60.404384064389724,58.86164837263503,60.60502893222819
Northern Mariana Islands,43.497498209682504,43.5923327152351,47.02116982761778,44.95140207618674,36.94490638986758,52.72648019292383
North Macedonia,53.4192371399884,53.49741887485183,53.158111862079096,52.013766774031026,53.601352635267816,51.59326168008469
Denmark,5.435015377791368,4.739383052111703,2.4482901092914213,8.350890260814008,5.734378772527098,8.048239603504955
Lesotho,55.468246418981536,55.54298907104885,59.995095597748914,53.47226622651263,51.291510772572245,59.92343518194312
Laos,62.89625742625399,62.958532811761515,67.3403926267807,58.75957756189991,60.921773294335324,62.409057956415715
Gabon,54.30053349701915,54.3772360530566,61.54690443526787,56.45016058343557,42.85002631893146,70.13775084388655
Samoa,31.888065238026446,32.002385161051336,32.010909224387625,36.68772469493908,25.537760363185996,42.57323349414108
San Marino,55.09019923254992,55.1655764037423,55.69535938094283,53.203169536675446,54.8542165947172,51.9793862356624
Sao Tome & Principe,66.89813425917242,66.95369284456125,64.53059686806778,61.608142099674225,73.09603710344493,53.37423005957308
Czech Republic,24.339576805233655,24.563782276734056,21.863052200466758,22.804706017177274,27.681100222748384,18.03842453215092
North Korea,83.85116006306386,83.87826447795065,91.64463397510852,73.67542705849692,84.39085056754134,76.01189978125555
Rwanda,54.549962989339676,54.62624689979816,54.822241787754656,52.81862551678695,54.5036662681798,52.30479679482528
Sao Tome and Principe,59.49362485623521,59.56161126279722,62.22038999090566,56.33755937425799,58.322343802753984,57.94682880625438
"Gambia, The",63.39260217017616,63.45404448445884,64.71245727989202,59.112879298829256,64.78486678214327,56.32281597377941
Norfolk Island,68.62615248625168,68.6788107442398,65.82357920442915,62.83815782674391,75.76561465981857,54.06188254359727
Saudi Arabia,47.13239952996562,47.22113317168885,48.80376235677987,39.37210031473215,52.390183845833626,35.15539417800838
Niue,58.99347507459952,59.06230093880925,58.615969035764934,55.98154918428322,60.88430205387547,52.03536398065426
Algeria,67.14242473242867,67.1975732976324,71.4819246355317,61.78202980489036,66.4860481804896,63.559350671550696
West Bank and Gaza,67.184742405067,67.2398199437598,73.73008240234164,61.812151826789474,64.26326342676069,66.72458578010493
Nigeria,56.63514164564432,56.7079257661715,65.68105273794139,58.059408341356175,44.0492534027283,73.35617802753201
Curacao,63.91683370262391,63.97739614014717,62.29985132465008,59.4860310511846,68.49029109345153,53.9945793044563
Cuba,72.56947494073252,72.6155146770029,74.53081897911804,65.64504293936031,75.9147696038223,61.34973599040768
Senegal,66.13180910376147,66.18865389887382,64.61958806022561,63.54353326946616,68.53616231229448,59.547262588777784
Georgia,65.50462602700226,65.56252349403339,59.8947462027792,65.28209022021557,69.58928360202204,58.11229560474539
Croatia,34.50246467258176,35.14290977990653,34.59801365054857,33.84804512118143,33.61594929704608,34.267705491091945
Cyprus,41.53997938649431,41.63809941611796,38.632714292848526,41.94654651000934,42.81714264849483,39.491817119057956
French Southern Territory,45.02101569161947,45.113293106379224,48.16113534558099,46.0358527109555,39.298555218790064,51.83545013321517
Yemen,88.77185648524674,88.79070194172667,99.19138660917469,77.17801394824912,88.00290057340595,81.92589650545631
Albania,59.38305848045147,59.451230463001195,57.482268854344255,60.7282454221769,58.10735528915689,60.826698872013715
Faroe Islands,46.04109847759425,46.131663772650185,48.924407979644016,46.761954930249125,40.874458799207844,53.73868771202537
