date,country,economic_risk_pillar_score,trailing_12m_avg
2010-01-01,EST,0.5705897122928828,-1.1094817121785872
2011-01-01,EST,-0.60346959300022,-1.0251463589821925
2012-01-01,EST,-0.46436558863592564,-0.9450348203612972
2013-01-01,EST,-0.6858795540130067,-0.9126404120677609
2014-01-01,EST,-1.365666148872915,-0.9629766050461114
2015-01-01,EST,-0.732180143940739,-0.9398969589355742
2016-01-01,EST,-0.5879994709094153,-0.9079062782059233
2017-01-01,EST,-1.188712193615117,-0.9313067711566895
2018-01-01,EST,-1.1691000944062595,-0.6829076183706971
2019-01-01,EST,-0.8017751804556967,-0.5034858096875356
2020-01-01,EST,-1.6908753574720172,-0.46551836902045496
2021-01-01,EST,0.30557363192208065,-0.7011549984255291
2022-01-01,EST,1.0574223779737386,-0.6605856096187911
2023-01-01,EST,2.177117039502643,-0.4288700569102191
2024-01-01,EST,3.419120509689327,-0.10524621538311481
2025-01-01,EST,-1.8682336384906624,-0.20377572242291941
2006-01-01,FIN,0.5150082611489194,0.5150082611489194
2007-01-01,FIN,0.5486339933341144,0.531821127241517
2008-01-01,FIN,0.9983594108454716,0.6873338884428352
2009-01-01,FIN,-0.4904527661132194,0.39288722480382154
2010-01-01,FIN,-0.5577435874927064,0.20276106234451596
2011-01-01,FIN,0.03301207113966343,0.17446956381037385
2012-01-01,FIN,0.1313440966898022,0.16830878279314934
2013-01-01,FIN,0.2640113519832094,0.18027160394190683
2014-01-01,FIN,-0.6551857904959613,0.0874430045599215
2015-01-01,FIN,1.622517706339356,0.24095047473786496
2016-01-01,FIN,0.1071702117054961,0.22878863264401328
2017-01-01,FIN,-0.9173185064662625,0.13327970438482362
2018-01-01,FIN,-0.6155862008642989,0.03906349921705543
2019-01-01,FIN,0.23999300714785035,0.013343417034866746
2020-01-01,FIN,-0.17682724975348912,-0.08458880468171331
2021-01-01,FIN,-0.39939293622636624,-0.07700048552447555
2022-01-01,FIN,-0.003331395023482657,-0.03079946948537358
2023-01-01,FIN,0.375116866906915,-0.0022907365047692835
2024-01-01,FIN,1.0258163884041211,0.07224862113809062
2025-01-01,FIN,-0.3400299882721264,0.021911842783479307
2006-01-01,FRA,1.8832074439315512,1.8832074439315512
2007-01-01,FRA,1.5821868088335536,1.7326971263825524
2008-01-01,FRA,1.3003163606984007,1.5885702044878351
2009-01-01,FRA,-0.3983126786990637,1.0918494836911103
2010-01-01,FRA,0.7398710424184353,1.0214537954365754
2011-01-01,FRA,0.19166581644832487,0.8831557989385336
2012-01-01,FRA,0.9472354164960121,0.8923100300181733
2013-01-01,FRA,1.592770229647236,0.9798675549718062
2014-01-01,FRA,-0.3991527132978284,0.8266430807196246
2015-01-01,FRA,0.31953185902180525,0.7759319585498426
2016-01-01,FRA,-0.7382312199561742,0.6382807605038411
2017-01-01,FRA,-0.34021833287034664,0.5567391693893254
2018-01-01,FRA,0.6007636778988554,0.44986885555326755
2019-01-01,FRA,0.6184169321429325,0.3695546991623824
2020-01-01,FRA,1.0974599341890063,0.3526499969532662
2021-01-01,FRA,0.2653141978258639,0.4079522366636769
2022-01-01,FRA,-0.43414308962062015,0.3101177256604222
2023-01-01,FRA,-1.2078168272347218,0.19349417202016836
2024-01-01,FRA,0.2594234606153083,0.1361765090301097
2025-01-01,FRA,1.1477400880383013,0.09909066389603181
2006-01-01,GBR,1.1769086410693328,1.1769086410693328
2007-01-01,GBR,0.6287117952285283,0.9028102181489306
2008-01-01,GBR,0.17791307363053332,0.6611778366427982
2009-01-01,GBR,-0.22563021712898423,0.43947582319985257
2010-01-01,GBR,0.1126672325182884,0.3741141050635397
2011-01-01,GBR,0.9888713455380308,0.4765736451426215
2012-01-01,GBR,0.7564003212229748,0.516548884582672
2013-01-01,GBR,-0.8626462397066048,0.3441494940465124
2014-01-01,GBR,2.5932669277022344,0.5940514311193704
2015-01-01,GBR,-1.729616642838147,0.3616846237236187
2016-01-01,GBR,-1.253682891322616,0.21483303144668825
2017-01-01,GBR,-0.46788868705621445,0.1579395549047797
2018-01-01,GBR,0.14461676382007715,0.07191523180067506
2019-01-01,GBR,0.19938403100406676,0.036137918115303265
2020-01-01,GBR,-0.10225911506094774,0.01279023572434651
2021-01-01,GBR,0.5136380865390684,0.07439592769668422
2022-01-01,GBR,-1.1688820087337695,-0.03239984240765392
2023-01-01,GBR,-1.1792571218775185,-0.21307721469228302
2024-01-01,GBR,-1.5860251075441452,-0.4082793337562097
2025-01-01,GBR,0.6709150760937348,-0.2804825574395147
2006-01-01,GRC,2.445904663273436,2.445904663273436
2007-01-01,GRC,2.278264295865172,2.3620844795693037
2008-01-01,GRC,2.816240127455457,2.513469695531355
2009-01-01,GRC,-0.6827776670641159,1.7144078548824873
2010-01-01,GRC,3.85223820578128,2.1419739250622456
2011-01-01,GRC,5.204376664903076,2.652374381702384
2012-01-01,GRC,5.0620117161588505,2.996608286624736
2013-01-01,GRC,4.805602268481811,3.222732534356871
2014-01-01,GRC,2.8637165344282347,3.1828418676981336
2015-01-01,GRC,2.480216191664351,3.1125793000947555
2016-01-01,GRC,0.2859285254841177,2.8556110478574244
2017-01-01,GRC,1.5511518756102085,2.7469061168368234
2018-01-01,GRC,2.3120135107967505,2.7357485207970993
2019-01-01,GRC,0.5520734104665915,2.5918992803472176
2020-01-01,GRC,1.7513596006395433,2.503159236445892
2021-01-01,GRC,2.0204888829448553,2.728431448946639
2022-01-01,GRC,0.26886890110741074,2.4298173402238166
2023-01-01,GRC,-1.0185550176468696,1.9112397000113213
2024-01-01,GRC,-0.31271080767025905,1.4633461563588954
2025-01-01,GRC,1.4143225723774084,1.1807395150168618
2006-01-01,HRV,0.3752725911315065,0.3752725911315065
2007-01-01,HRV,0.3264304630033266,0.35085152706741657
2008-01-01,HRV,0.8875899744975013,0.5297643428774448
2009-01-01,HRV,0.3132174666788663,0.4756276238278002
2010-01-01,HRV,1.8236039652629679,0.7452228921148337
2011-01-01,HRV,1.4256876819651558,0.8586336904232207
2012-01-01,HRV,1.5880615804129699,0.9628376747074706
2013-01-01,HRV,1.6510815589749768,1.048868160240909
2014-01-01,HRV,0.9827460272734481,1.0415212565778578
2015-01-01,HRV,-0.5943444671055985,0.8779346842095122
2016-01-01,HRV,-1.6057213907771266,0.6521477683016358
2017-01-01,HRV,-1.4450756671677532,0.47737914867918674
2018-01-01,HRV,-1.146309208031594,0.350580665415595
2019-01-01,HRV,-1.162812505777073,0.22647708468389505
2020-01-01,HRV,-0.03583016105504595,0.14952540672118278
2021-01-01,HRV,-0.022153028922273506,0.12157786542108778
2022-01-01,HRV,-0.3427139818336564,-0.05894863017029755
2023-01-01,HRV,-0.7571390143145107,-0.24085085486026978
2024-01-01,HRV,-0.881315060054354,-0.44663224156588005
2025-01-01,HRV,0.5644492075711602,-0.5371849375161981
2006-01-01,HUN,0.7548065495764398,0.7548065495764398
2007-01-01,HUN,1.6601268124490816,1.2074666810127606
2008-01-01,HUN,-0.2176990564978524,0.7324114351758896
2009-01-01,HUN,0.8486899092143233,0.7614810536854981
2010-01-01,HUN,0.39877498675935713,0.6889398403002699
2011-01-01,HUN,0.4565249113258448,0.6502040188045324
2012-01-01,HUN,0.808330086677183,0.6727934570720538
2013-01-01,HUN,0.3948877442573217,0.6380552429702123
2014-01-01,HUN,1.2625207866698207,0.70744030338128
2015-01-01,HUN,-2.0285013362585484,0.4338461394172971
2016-01-01,HUN,-1.119892021711508,0.2925972156783148
2017-01-01,HUN,-1.3243746988274043,0.15784955613617158
2018-01-01,HUN,-2.0551006330679473,-0.07630937575086068
2019-01-01,HUN,-1.674311900693272,-0.35417926851272347
2020-01-01,HUN,-1.3639402410047876,-0.4496993672216347
2021-01-01,HUN,-1.2572887474069154,-0.625197588606738
2022-01-01,HUN,-0.6249284786100667,-0.7105062107208567
2023-01-01,HUN,-0.02778731485488476,-0.7508655629025842
2024-01-01,HUN,-0.10717157521407275,-0.8271573680601887
2025-01-01,HUN,0.13372375687863997,-0.8489210336750789
2006-01-01,IDN,0.4612914472699608,0.4612914472699608
2007-01-01,IDN,0.18300279904799768,0.32214712315897925
2008-01-01,IDN,-0.4911993907307798,0.051031618529059575
2009-01-01,IDN,-1.5904177249047013,-0.35933071732938066
2010-01-01,IDN,-0.7509061557446134,-0.4376458050124272
