country,overall_risk_score,risk_score_0_to_100,ewm6,ewm6_score_0_to_100
Bouvet Island,-1.4808403566385457,8.308867278652394e-15,-1.4396657479033161,0.0
Brazil,-0.18487499756933143,48.4947795505898,-0.13988278525345582,48.62157152593076
British Indian Ocean Territory,-1.4808403566385457,8.308867278652394e-15,-1.4396657479033161,0.0
British Virgin Islands,-1.266337726655796,8.02664799737107,-1.224347493715419,8.054507712189164
Bulgaria,-0.5445838127072452,35.03454346446047,-0.6793152164535219,28.4427776113454
Burkina Faso,1.1915408173335151,100.0,1.2335982414283788,100.0
Burundi,1.1915408173335151,100.0,1.2335982414283788,100.0
Cambodia,0.5368789163792191,75.5026750176792,0.40305391438662536,68.93145120136877
Cameroon,0.6820851015343833,80.93626310643745,0.7252982524296298,80.98579148833625
Canada,-1.4808403566385457,8.308867278652394e-15,-1.4396657479033161,0.0
Cayman Islands,-1.266337726655796,8.02664799737107,-1.224347493715419,8.054507712189164
Central African Republic,1.1915408173335151,100.0,1.2335982414283788,100.0
Chad,1.1915408173335151,100.0,1.2335982414283788,100.0
Chile,-0.5445838127072452,35.03454346446047,-0.6794280857798475,28.438555457200653
China,-0.6228298367075469,32.10659198948425,-0.5783927311517295,32.21803084875659
Christmas Island,-1.266337726655796,8.02664799737107,-1.224347493715419,8.054507712189164
Cocos (Keeling) Islands,-1.266337726655796,8.02664799737107,-1.224347493715419,8.054507712189164
Colombia,-0.18487499756933143,48.4947795505898,-0.14186549354894634,48.54740345635728
Comoros,1.1915408173335151,100.0,1.2335982414283788,100.0
Cook Islands,0.6820851015343833,80.93626310643745,0.7252982524296298,80.98579148833625
Costa Rica,-0.10918735837355971,51.32699674823134,-0.5094597124297542,34.796639583137825
Croatia,-0.8373324666902966,24.079943992113193,-0.793007028927422,24.189856353751136
Cuba,1.1915408173335151,100.0,1.2335982414283788,100.0
Cyprus,-0.399377627552081,40.46813155321873,-0.35621885094953515,40.528990076458484
Czech Republic,-0.5445838127072452,35.03454346446047,-0.6794280857798475,28.438555457200653
C̫te d'Ivoire,0.24413026239616778,64.54807554533191,0.2887710148268468,64.65641888073557
Denmark,-1.4808403566385457,8.308867278652394e-15,-1.4396657479033161,0.0
Djibouti,0.24413026239616778,64.54807554533191,0.28900428316594584,64.66514485542531
Dominica,0.6820851015343833,80.93626310643745,0.7252982524296298,80.98579148833625
Dominican Republic,-0.33008118272449566,43.06119146183153,-0.4641098315919509,36.49306316938979
Ecuador,1.1200399406725987,97.32445066754298,1.1618254900324132,97.31516409593694
Egypt,0.7535859781952997,83.61181243889445,0.7990537121210859,83.74479546197279
El Salvador,0.6820851015343833,80.93626310643745,0.7252982524296298,80.98579148833625
Equatorial Guinea,1.1915408173335151,100.0,1.2335982414283788,100.0
Eritrea,1.1915408173335151,100.0,1.2335982414283788,100.0
